Title and Description,Description,Updated Date,Request Type,Publisher,Keywords,Current state,Alternative Title,Creator,Time Coverage,Spatial Coverage,Language,Subjects,Update Frequency,Related Documents Titles,Related Documents URLs,Usage Considerations,Contact,Contact Email,Contact Phone,Distribution Type,Distribution Titles,Distribution URLs,Format
Health Indicator - Injury - Age-Standardized Emergency Department Visit Rates - Fine-Level Geographies,"Age-Standardized Rates of Emergency Department Visits due to Injury for Alberta and select geographies , expressed as per 100,000 population.","Thursday, May 30, 2013 - 09:02",,Health,"Injury, Surveillance, Utilization, Emergency Department, ER, Visit",Dataset Management System: Published,,Health,"Thursday, January 1, 1998",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=61&subCat=367,CSV
Health Indicator - Injury - Age-Standardized Emergency Department Visit Rates - Fine-Level Injury Groupings,"Age-Standardized Rates of Emergency Department Visits due to Injury for Alberta and select geographies , expressed as per 100,000 population.","Thursday, May 30, 2013 - 09:03",,Health,"Injury, Surveillance, Utilization, Emergency Department, ER, Visit",Dataset Management System: Published,,Health,"Thursday, January 1, 1998",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=61&subCat=47,CSV
Health Indicator - Injury - Age-Standardized Mortality Rates - Alberta,"Age-Standardized Mortality Rates due to Injury for Alberta and selected geographies  expressed as per 100,000 population. ","Thursday, May 30, 2013 - 09:04",,Health,"Injury, Surveillance, Utilization, Mortality, Death, Rates",Dataset Management System: Published,,Health,"Wednesday, January 1, 1986",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=61&subCat=45,CSV
Health Indicator - Injury - Age-Standardized Mortality Rates - by Geography,"Age-Standardized Mortality Rates due to injury for Alberta and selected geographies  expressed as per 100,000 population.","Thursday, May 30, 2013 - 09:05",,Health,"Injury, Surveillance, Utilization, Mortality, Death, Rates",Dataset Management System: Published,,Health,"Wednesday, January 1, 1986",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=61&subCat=368,CSV
Health Indicator - Age-Sex Specific Mortality Rates by Cause of Death - Alberta (1983 to 1999),"Age-Sex Specific Mortality Rates for Alberta, by cause of death, per 100,000 population for the years 1983 to 1999 (for cause of death derived from ICD9 codes).","Thursday, May 30, 2013 - 09:06",,Health,"Mortality, Health Status, Surveillance, Population Health, Cause of Death, Death",Dataset Management System: Published,,Health,"Saturday, January 1, 1983",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=3&subCat=117,CSV
Health Indicator - Age-Sex Specific Mortality Rates by Cause of Death - Alberta (2000 to 2011),"Age-Sex Specific Mortality Rates for Alberta, by cause of death, per 100,000 population for the years 2000 to 2011 (for cause of death derived from ICD10 codes).","Thursday, May 30, 2013 - 09:07",,Health,"Mortality, Health Status, Surveillance, Population Health, Cause of Death, Death",Dataset Management System: Published,,Health,"Saturday, January 1, 2000",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=3&subCat=116,CSV
Health Indicator - Age-Standardized Mortality Rates by Cause of Death  (1983 to 1999),"Age-Standardized Mortality Rates for Alberta, Alberta Health Services (AHS) continuum zones, and its former health regions, by cause of death, per 100,000 population for the years 1983 to 1999 (for cause of death derived from ICD9 codes).","Thursday, May 30, 2013 - 09:08",,Health,"Mortality, Health Status, Surveillance, Population Health, Cause of Death, Death",Dataset Management System: Published,,Health,"Saturday, January 1, 1983",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=3&subCat=119,CSV
Health Indicator - Age-Standardized Mortality Rates by Cause of Death  (2000 to 2011),"Age-Standardized Mortality Rates for Alberta, Alberta Health Services (AHS) continuum zones, and its former health regions, by cause of death, per 100,000 population for the years 2000 to 2011 (for cause of death derived from ICD10 codes).","Thursday, May 30, 2013 - 09:09",,Health,"Mortality, Health Status, Surveillance, Population Health, Cause of Death, Death",Dataset Management System: Published,,Health,"Saturday, January 1, 2000",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=3&subCat=118,CSV
Health Indicator - Life Expectancy at Birth,Life Expectancy at Birth,"Thursday, May 30, 2013 - 09:10",,Health,"Health Status, Surveillance, Population Health, Life Expectancy, Mortality",Dataset Management System: Published,,Health,"Wednesday, January 1, 1986",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=3&subCat=169,CSV
Health Indicator - Life Expectancy at Birth (Combined 2002 - 2011),"Life Expectancy at Birth, for combined years 2002 to 2011","Thursday, May 30, 2013 - 09:11",,Health,"Health Status, Surveillance, Population Health, Life Expectancy, Mortality",Dataset Management System: Published,,Health,"Tuesday, January 1, 2002",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=3&subCat=366,CSV
